id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
123,"[78.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
124,"[90.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
125,"[102.0, 45.03332099679081]",f,Infinity,0,[],[],[],0,,0
126,"[0.0, 48.49742261192856]",f,Infinity,0,[],[],[],0,,0
127,"[12.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
128,"[24.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
129,"[36.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
130,"[48.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
131,"[60.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
132,"[72.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
133,"[84.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
134,"[96.0, 48.49742261192856]",t,1,0,[],[],[],0,,0
135,"[6.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
136,"[18.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
137,"[30.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
138,"[42.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
139,"[54.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
140,"[66.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
141,"[78.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
142,"[90.0, 51.96152422706632]",t,1,0,[],[],[],0,,0
143,"[102.0, 51.96152422706632]",f,Infinity,0,[],[],[],0,,0
144,"[0.0, 55.42562584220407]",f,Infinity,0,[],[],[],0,,0
145,"[12.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
146,"[24.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
147,"[36.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
148,"[48.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
149,"[60.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
150,"[72.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
151,"[84.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
152,"[96.0, 55.42562584220407]",t,1,0,[],[],[],0,,0
153,"[6.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
154,"[18.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
155,"[30.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
156,"[42.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
157,"[54.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
158,"[66.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
159,"[78.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
160,"[90.0, 58.88972745734183]",t,1,0,[],[],[],0,,0
