id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
289,"[12.0, 110.85125168440814]",t,1,2,"[514, 602]","[[10.9991084081276, 112.76159614009792], [13.933820568153003, 110.43669318966408]]",[1.14],0.56,1.0276757,0.048123196
290,"[24.0, 110.85125168440814]",f,Infinity,0,[],[],[],0,1.046,0
291,"[36.0, 110.85125168440814]",f,Infinity,1,[187],"[[34.947865709495005, 113.44971352650992]]",[],0,1.0368378,0.024061598
293,"[60.0, 110.85125168440814]",t,1,3,"[24, 561, 577]","[[61.76716674197925, 108.01753990466476], [58.649557175287725, 109.65763033021634], [61.701017395642516, 111.7756290917848]]","[1.07, 1.14, 1.13]",1.11,1.0185136,0.07218479
300,"[42.0, 114.31535329954589]",f,Infinity,1,[283],"[[40.21430233183846, 115.76859328745603]]",[],0,1.0368378,0.024061598
33,"[78.0, 10.392304845413264]",t,1,4,"[101, 143, 462, 569]","[[76.35527695327107, 8.461508399546235], [78.96060291145217, 10.109288260881343], [74.98652998497062, 9.206321386311918], [75.23304632657056, 10.482893907562483]]","[0.93, 0.47, 0.7, 1.24, 1.14, 0.39]",1.21,1.0093514,0.09624639
34,"[90.0, 10.392304845413264]",t,1,4,"[30, 200, 266, 565]","[[90.29653373581692, 8.957442974377479], [91.15980069764178, 9.358888316211447], [89.80870007563864, 7.916141995296184], [86.52772973356343, 10.50398862100748]]","[0.29, 0.35, 1.24, 0.6, 1.45, 1.27]",1.3,1.0093514,0.09624639
35,"[102.0, 10.392304845413264]",t,1,0,[],[],[],0,1.046,0
36,"[0.0, 13.856406460551018]",f,Infinity,0,[],[],[],0,1.046,0
138,"[42.0, 51.96152422706632]",t,1,0,[],[],[],0,1.046,0
139,"[54.0, 51.96152422706632]",t,1,5,"[120, 468, 474, 546, 610]","[[53.698567894311125, 49.44879410047925], [53.61399045016908, 54.55799528378658], [51.283865453475414, 53.176879126977276], [56.779645115524474, 51.23648388169145], [50.655523367197254, 50.99063438001075]]","[1.55, 1.35, 1.08, 1.03, 0.82, 1.39, 1.41, 1.77, 0.69, 1.86]",2.59,1.0001892,0.12030799
167,"[60.0, 62.35382907247958]",t,1,2,"[126, 558]","[[58.69191280669764, 63.38027809488425], [61.97380957517327, 62.40734119456838]]",[1.04],0.52,1.0276757,0.048123196
309,"[36.0, 117.77945491468365]",f,Infinity,1,[592],"[[33.68967480015552, 118.63742917555716]]",[],0,1.0368378,0.024061598
311,"[60.0, 117.77945491468365]",t,1,0,[],[],[],0,1.046,0
312,"[72.0, 117.77945491468365]",t,1,2,"[140, 231]","[[74.54390889370158, 120.00679861907396], [70.85245757473668, 115.27275109363612]]",[1.82],0.91,1.0276757,0.048123196
341,"[102.0, 128.1717597600969]",t,1,0,[],[],[],0,1.046,0
315,"[6.0, 121.2435565298214]",f,Infinity,3,"[13, 230, 600]","[[6.1258661250316075, 123.60029434292392], [7.56449767622567, 122.61864179204815], [3.8097403950352016, 122.8717868919104]]","[0.53, 0.74, 1.14]",0.8,1.0185136,0.07218479
320,"[66.0, 121.2435565298214]",t,1,2,"[365, 461]","[[66.390994489384, 120.04555723716459], [64.61828013135698, 120.70690005898588]]",[0.57],0.28,1.0276757,0.048123196
56,"[24.0, 20.784609690826528]",f,Infinity,3,"[300, 536, 601]","[[21.252031659196717, 21.474838362141067], [23.68202691255607, 17.579169830983272], [25.304266613035573, 19.577883566701445]]","[1.39, 1.36, 0.78]",1.17,1.0185136,0.07218479
86,"[66.0, 31.17691453623979]",t,1,2,"[366, 407]","[[63.92945817027816, 29.954646397332848], [64.41639922240817, 29.330555144350953]]",[0.24],0.12,1.0276757,0.048123196
127,"[12.0, 48.49742261192856]",t,1,3,"[215, 236, 450]","[[10.695835583759596, 46.842109001492254], [9.953159173383623, 47.57580998359372], [13.184406255032998, 50.36613693400059]]","[0.31, 1.31, 1.3]",0.97,1.0185136,0.07218479
172,"[18.0, 65.81793068761733]",t,1,1,[527],"[[15.244690712800146, 63.772624064680876]]",[],0,1.0368378,0.024061598
