grid_id,neighbor_ids,distances
73,"[55, 63, 64, 81, 82, 91]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
74,"[56, 64, 65, 82, 83, 92]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
75,"[57, 65, 66, 83, 84, 93]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
76,"[58, 66, 67, 84, 85, 94]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
77,"[59, 67, 68, 85, 86, 95]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
78,"[60, 68, 69, 86, 87, 96]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
79,"[61, 69, 70, 87, 88, 97]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
80,"[62, 70, 71, 88, 89, 98]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275507]"
81,"[63, 72, 73, 90, 91, 99]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
82,"[64, 73, 74, 91, 92, 100]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
83,"[65, 74, 75, 92, 93, 101]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
84,"[66, 75, 76, 93, 94, 102]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
85,"[67, 76, 77, 94, 95, 103]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
86,"[68, 77, 78, 95, 96, 104]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
87,"[69, 78, 79, 96, 97, 105]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
88,"[70, 79, 80, 97, 98, 106]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
89,"[71, 80, 98, 107]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105]"
90,"[72, 81, 99, 108]","[6.928203230275507, 6.928203230275509, 6.9282032302755105, 6.928203230275514]"
91,"[73, 81, 82, 99, 100, 109]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
92,"[74, 82, 83, 100, 101, 110]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
93,"[75, 83, 84, 101, 102, 111]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
94,"[76, 84, 85, 102, 103, 112]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
95,"[77, 85, 86, 103, 104, 113]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
96,"[78, 86, 87, 104, 105, 114]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
97,"[79, 87, 88, 105, 106, 115]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
98,"[80, 88, 89, 106, 107, 116]","[6.928203230275507, 6.928203230275509, 6.928203230275509, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
99,"[81, 90, 91, 108, 109, 117]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
100,"[82, 91, 92, 109, 110, 118]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
101,"[83, 92, 93, 110, 111, 119]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
102,"[84, 93, 94, 111, 112, 120]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
103,"[85, 94, 95, 112, 113, 121]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
104,"[86, 95, 96, 113, 114, 122]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
105,"[87, 96, 97, 114, 115, 123]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
106,"[88, 97, 98, 115, 116, 124]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
107,"[89, 98, 116, 125]","[6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275514]"
108,"[90, 99, 117, 126]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
109,"[91, 99, 100, 117, 118, 127]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
110,"[92, 100, 101, 118, 119, 128]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
111,"[93, 101, 102, 119, 120, 129]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
112,"[94, 102, 103, 120, 121, 130]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
113,"[95, 103, 104, 121, 122, 131]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
114,"[96, 104, 105, 122, 123, 132]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
115,"[97, 105, 106, 123, 124, 133]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
116,"[98, 106, 107, 124, 125, 134]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
117,"[99, 108, 109, 126, 127, 135]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
118,"[100, 109, 110, 127, 128, 136]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
119,"[101, 110, 111, 128, 129, 137]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
120,"[102, 111, 112, 129, 130, 138]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
